timestamp_utc,ME,NH,VT,CT,RI,SEMA,WCMA,NEMA_BOST
2019-01-01 00:00:00,1509,1471,736,3809,983,1883,2077,3000
2019-01-01 01:00:00,1429,1390,696,3612,940,1791,1975,2882
2019-01-01 02:00:00,1358,1327,659,3429,887,1703,1888,2770
2019-01-01 03:00:00,1292,1257,636,3248,846,1621,1803,2667
2019-01-01 04:00:00,1241,1193,603,3063,814,1523,1705,2554
2019-01-01 05:00:00,1183,1129,569,2886,768,1427,1622,2441
2019-01-01 06:00:00,1124,1064,539,2714,723,1339,1535,2338
2019-01-01 07:00:00,1080,1008,514,2578,689,1259,1473,2249
2019-01-01 08:00:00,1064,972,496,2468,660,1206,1422,2169
2019-01-01 09:00:00,1059,953,487,2397,643,1177,1398,2116
2019-01-01 10:00:00,1058,956,489,2381,638,1164,1397,2105
2019-01-01 11:00:00,1085,987,505,2423,646,1181,1428,2151
2019-01-01 12:00:00,1126,1033,527,2488,666,1222,1473,2237
2019-01-01 13:00:00,1184,1083,558,2531,675,1244,1508,2278
2019-01-01 14:00:00,1254,1152,591,2621,699,1280,1562,2334
2019-01-01 15:00:00,1312,1213,602,2794,741,1355,1603,2409
2019-01-01 16:00:00,1349,1244,614,2914,779,1427,1577,2427
2019-01-01 17:00:00,1342,1265,647,2902,786,1387,1594,2415
2019-01-01 18:00:00,1350,1279,664,2859,774,1328,1626,2435
2019-01-01 19:00:00,1339,1278,660,2864,777,1339,1664,2466
2019-01-01 20:00:00,1346,1287,667,2927,786,1392,1693,2500
2019-01-01 21:00:00,1385,1315,688,3068,806,1493,1772,2578
2019-01-01 22:00:00,1499,1432,733,3358,880,1682,1929,2777
2019-01-01 23:00:00,1577,1530,766,3650,952,1831,2056,2948
2019-01-02 00:00:00,1545,1506,757,3632,944,1817,2035,2931
2019-01-02 01:00:00,1493,1455,731,3547,924,1766,1979,2866
2019-01-02 02:00:00,1423,1383,704,3422,887,1689,1911,2780
2019-01-02 03:00:00,1325,1286,678,3222,838,1578,1806,2645
2019-01-02 04:00:00,1246,1181,642,2964,769,1440,1677,2465
2019-01-02 05:00:00,1178,1102,605,2735,724,1327,1566,2321
2019-01-02 06:00:00,1139,1056,584,2590,680,1257,1495,2222
2019-01-02 07:00:00,1119,1045,574,2525,671,1222,1467,2171
2019-01-02 08:00:00,1125,1042,574,2508,666,1216,1461,2164
2019-01-02 09:00:00,1143,1056,579,2528,673,1234,1479,2186
2019-01-02 10:00:00,1189,1100,599,2636,690,1292,1548,2271
2019-01-02 11:00:00,1316,1226,650,2910,750,1422,1714,2480
2019-01-02 12:00:00,1485,1412,733,3371,858,1637,1963,2824
2019-01-02 13:00:00,1585,1509,785,3647,923,1744,2104,3034
2019-01-02 14:00:00,1590,1514,753,3664,940,1725,2088,3059
2019-01-02 15:00:00,1560,1503,685,3617,945,1663,2017,3012
2019-01-02 16:00:00,1552,1495,617,3586,948,1604,1971,2966
2019-01-02 17:00:00,1523,1482,581,3524,945,1596,1952,2946
2019-01-02 18:00:00,1496,1465,566,3476,937,1574,1935,2941
2019-01-02 19:00:00,1499,1464,592,3479,939,1603,1968,2945
2019-01-02 20:00:00,1510,1471,654,3553,946,1662,2013,2966
2019-01-02 21:00:00,1537,1507,739,3639,969,1760,2096,3050
2019-01-02 22:00:00,1627,1614,793,3903,1030,1929,2246,3230
2019-01-02 23:00:00,1709,1712,828,4176,1088,2059,2381,3361
2019-01-03 00:00:00,1688,1704,822,4180,1082,2061,2370,3318
2019-01-03 01:00:00,1650,1653,803,4073,1057,2013,2314,3247
2019-01-03 02:00:00,1583,1578,774,3922,1011,1922,2226,3120
2019-01-03 03:00:00,1476,1457,745,3662,945,1787,2097,2947
2019-01-03 04:00:00,1371,1323,697,3319,872,1609,1925,2708
2019-01-03 05:00:00,1300,1214,649,3008,800,1464,1776,2497
2019-01-03 06:00:00,1238,1150,618,2810,750,1366,1681,2358
2019-01-03 07:00:00,1209,1114,600,2713,716,1311,1627,2276
