timestamp_utc,ME,NH,VT,CT,RI,SEMA,WCMA,NEMA_BOST
2022-12-02 00:00:00,1618,1590,782,3854,1039,1945,2253,3087
2022-12-02 01:00:00,1573,1545,761,3778,1019,1896,2199,3010
2022-12-02 02:00:00,1500,1486,733,3647,984,1821,2121,2917
2022-12-02 03:00:00,1421,1389,704,3441,928,1711,2014,2783
2022-12-02 04:00:00,1301,1280,663,3184,857,1578,1859,2586
2022-12-02 05:00:00,1229,1188,619,2928,787,1453,1738,2399
2022-12-02 06:00:00,1174,1140,586,2758,742,1370,1661,2282
2022-12-02 07:00:00,1153,1104,580,2684,718,1325,1618,2213
2022-12-02 08:00:00,1141,1095,570,2652,706,1307,1599,2183
2022-12-02 09:00:00,1153,1101,569,2656,708,1310,1605,2193
2022-12-02 10:00:00,1195,1141,589,2750,727,1353,1654,2256
2022-12-02 11:00:00,1296,1244,629,2958,782,1462,1781,2434
2022-12-02 12:00:00,1438,1388,698,3353,869,1636,1984,2706
2022-12-02 13:00:00,1512,1464,734,3571,921,1724,2067,2858
2022-12-02 14:00:00,1528,1461,682,3489,918,1677,2000,2858
2022-12-02 15:00:00,1495,1419,588,3310,901,1579,1885,2801
2022-12-02 16:00:00,1420,1374,486,3166,885,1510,1802,2741
2022-12-02 17:00:00,1362,1333,441,3062,871,1473,1756,2704
2022-12-02 18:00:00,1306,1313,473,3001,858,1455,1741,2685
2022-12-02 19:00:00,1341,1316,549,3042,860,1485,1777,2691
2022-12-02 20:00:00,1371,1331,614,3157,874,1554,1871,2720
2022-12-02 21:00:00,1452,1371,655,3352,900,1658,1983,2803
2022-12-02 22:00:00,1535,1469,701,3588,970,1810,2105,2972
2022-12-02 23:00:00,1586,1519,720,3732,994,1885,2162,3038
2022-12-03 00:00:00,1539,1492,705,3684,978,1852,2129,2946
2022-12-03 01:00:00,1503,1445,684,3588,954,1796,2062,2869
2022-12-03 02:00:00,1433,1395,654,3469,923,1728,1997,2779
2022-12-03 03:00:00,1358,1317,625,3291,876,1633,1907,2669
